Congress_no,Year,Name,State or Territory,Party,Service,year
41,(1869-1871),"REVELS, Hiram Rhodes",MS,Republican,Senate,1869
41,(1869-1871),"REVELS, Hiram Rhodes",MS,Republican,Senate,1870
44,(1875-1877),"BRUCE, Blanche Kelso",MS,Republican,Senate,1875
44,(1875-1877),"BRUCE, Blanche Kelso",MS,Republican,Senate,1876
45,(1877-1879),"BRUCE, Blanche Kelso",MS,Republican,Senate,1877
45,(1877-1879),"BRUCE, Blanche Kelso",MS,Republican,Senate,1878
46,(1879-1881),"BRUCE, Blanche Kelso",MS,Republican,Senate,1879
46,(1879-1881),"BRUCE, Blanche Kelso",MS,Republican,Senate,1880
90,(1967-1969),"BROOKE, Edward William, III",MA,Republican,Senate,1967
90,(1967-1969),"BROOKE, Edward William, III",MA,Republican,Senate,1968
91,(1969-1971),"BROOKE, Edward William, III",MA,Republican,Senate,1969
91,(1969-1971),"BROOKE, Edward William, III",MA,Republican,Senate,1970
92,(1971-1973),"BROOKE, Edward William, III",MA,Republican,Senate,1971
92,(1971-1973),"BROOKE, Edward William, III",MA,Republican,Senate,1972
93,(1973-1975),"BROOKE, Edward William, III",MA,Republican,Senate,1973
93,(1973-1975),"BROOKE, Edward William, III",MA,Republican,Senate,1974
94,(1975-1977),"BROOKE, Edward William, III",MA,Republican,Senate,1975
94,(1975-1977),"BROOKE, Edward William, III",MA,Republican,Senate,1976
95,(1977-1979),"BROOKE, Edward William, III",MA,Republican,Senate,1977
95,(1977-1979),"BROOKE, Edward William, III",MA,Republican,Senate,1978
103,(1993-1995),"MOSELEY BRAUN, Carol",IL,Democrat,Senate,1993
103,(1993-1995),"MOSELEY BRAUN, Carol",IL,Democrat,Senate,1994
104,(1995-1997),"MOSELEY BRAUN, Carol",IL,Democrat,Senate,1995
104,(1995-1997),"MOSELEY BRAUN, Carol",IL,Democrat,Senate,1996
105,(1997-1999),"MOSELEY BRAUN, Carol",IL,Democrat,Senate,1997
105,(1997-1999),"MOSELEY BRAUN, Carol",IL,Democrat,Senate,1998
109,(2005-2007),"OBAMA, Barack",IL,Democrat,Senate,2005
109,(2005-2007),"OBAMA, Barack",IL,Democrat,Senate,2006
110,(2007-2009),"OBAMA, Barack
                
                    21",IL,Democrat,Senate,2007
110,(2007-2009),"OBAMA, Barack
                
                    21",IL,Democrat,Senate,2008
111,(2009-2011),"BURRIS, Roland
                
                    24",IL,Democrat,Senate,2009
111,(2009-2011),"BURRIS, Roland
                
                    24",IL,Democrat,Senate,2010
113,(2013-2015),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2013
113,(2013-2015),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2014
113,(2013-2015),"COWAN, William (Mo)
                
                    28",MA,Democrat,Senate,2013
113,(2013-2015),"COWAN, William (Mo)
                
                    28",MA,Democrat,Senate,2014
113,(2013-2015),"SCOTT, Tim",SC,Republican,Senate,2013
113,(2013-2015),"SCOTT, Tim",SC,Republican,Senate,2014
114,(2015-2017),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2015
114,(2015-2017),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2016
114,(2015-2017),"SCOTT, Tim",SC,Republican,Senate,2015
114,(2015-2017),"SCOTT, Tim",SC,Republican,Senate,2016
115,(2017-2019),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2017
115,(2017-2019),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2018
115,(2017-2019),"HARRIS, Kamala Devi",CA,Democrat,Senate,2017
115,(2017-2019),"HARRIS, Kamala Devi",CA,Democrat,Senate,2018
115,(2017-2019),"SCOTT, Tim",SC,Republican,Senate,2017
115,(2017-2019),"SCOTT, Tim",SC,Republican,Senate,2018
116,(2019-2021),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2019
116,(2019-2021),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2020
116,(2019-2021),"HARRIS, Kamala Devi",CA,Democrat,Senate,2019
116,(2019-2021),"HARRIS, Kamala Devi",CA,Democrat,Senate,2020
116,(2019-2021),"SCOTT, Tim",SC,Republican,Senate,2019
116,(2019-2021),"SCOTT, Tim",SC,Republican,Senate,2020
117,(2021-2023),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2021
117,(2021-2023),"BOOKER, Cory Anthony",NJ,Democrat,Senate,2022
117,(2021-2023),"HARRIS, Kamala Devi",CA,Democrat,Senate,2021
117,(2021-2023),"HARRIS, Kamala Devi",CA,Democrat,Senate,2022
117,(2021-2023),"SCOTT, Tim",SC,Republican,Senate,2021
117,(2021-2023),"SCOTT, Tim",SC,Republican,Senate,2022
117,(2021-2023),"WARNOCK, Raphael Gamaliel",GA,Democrat,Senate,2021
117,(2021-2023),"WARNOCK, Raphael Gamaliel",GA,Democrat,Senate,2022
